alternate,code,series,cuteness,licking,raw,slutFace,size,uncen,no,link,
gana-2360,mla-133,mla,4,FALSE,FALSE,TRUE,n,,133,https://missav.com/th/mla-133,https://missav.com/th/mla-133
,maan-640,maan,4,TRUE,TRUE,TRUE,n,,640,https://missav.com/th/maan-640,https://missav.com/th/maan-640
gana-2361,maan-701,maan,4,FALSE,TRUE,TRUE,s,,701,https://missav.com/en/maan-701,https://missav.com/en/maan-701
gana-2474,gana-2474,gana,4,FALSE,FALSE,TRUE,s,,2474,https://missav.com/en/gana-2474,https://missav.com/en/gana-2474
gana-2360,ntk-720,ntk,4,TRUE,TRUE,TRUE,n,,720,https://missav.com/en/ntk-720,https://missav.com/en/ntk-720
gana-2510,gana-2510,gana,4,FALSE,FALSE,TRUE,n,,2510,https://missav.com/en/gana-2510,https://missav.com/en/gana-2510
gana-2474,maan-598,maan,4,TRUE,TRUE,TRUE,s,,598,https://missav.com/th/maan-598,https://missav.com/th/maan-598
gana-2691,cus-591,cus,4,FALSE,FALSE,TRUE,h,TRUE,,https://missav.com/dm5/en/cus-591,https://missav.com/dm5/en/cus-591
gana-2510,scute-1351,scute,4,TRUE,FALSE,TRUE,n,,1351,https://missav.com/th/scute-1351,https://missav.com/th/scute-1351
gana-2691,maan-776,maan,4,TRUE,FALSE,TRUE,h,,776,https://missav.com/th/maan-776,https://missav.com/th/maan-776
gana-2474,siro-4427,siro,4,TRUE,FALSE,TRUE,s,,,https://missav.com/th/siro-4427,https://missav.com/th/siro-4427
sqte-472,sqte-472,sqte,4,TRUE,TRUE,TRUE,m,,472,https://missav.com/th/sqte-472,https://missav.com/th/sqte-472
mium-960,mium-960,mium,4,FALSE,TRUE,TRUE,H,,960,https://missav.com/th/mium-960,https://missav.com/th/mium-960
,siro-4204,siro,4,FALSE,FALSE,FALSE,s,,4204,https://missav.com/dm5/th/siro-4204,https://missav.com/dm5/th/siro-4204
ssis-895,ssis-895,ssis,4,TRUE,TRUE,TRUE,s,,895,https://missav.com/th/ssis-895,https://missav.com/th/ssis-895
,siro-5003,siro,4,FALSE,FALSE,FALSE,n,,5003,https://missav.com/th/siro-5003,https://missav.com/th/siro-5003
siro-5003,MFC-229,MFC,4,TRUE,TRUE,TRUE,n,,,https://missav.com/th/MFC-229,https://missav.com/th/MFC-229
,siro-5179,siro,4,FALSE,FALSE,FALSE,n,,5179,https://missav.com/th/siro-5179,https://missav.com/th/siro-5179
siro-5003,XVSR-637,XVSR,4,TRUE,TRUE,TRUE,n,,,https://missav.com/dm5/th/XVSR-637,https://missav.com/dm5/th/XVSR-637
gana-2555,gana-2555,gana,4,TRUE,FALSE,FALSE,s,,,https://missav.com/th/gana-2555,https://missav.com/th/gana-2555
,siro-4384,siro,4,FALSE,FALSE,FALSE,s,,,https://missav.com/dm5/th/siro-4384,https://missav.com/dm5/th/siro-4384
,siro-5169,siro,4,FALSE,FALSE,TRUE,s,,5169,https://missav.com/th/siro-5169,https://missav.com/th/siro-5169
siro-5015,ntk-767,ntk,4,TRUE,TRUE,FALSE,N,,,https://missav.com/th/ntk-767,https://missav.com/th/ntk-767
,gana-2304,gana,4,TRUE,FALSE,TRUE,n,,,https://missav.com/en/gana-2304,https://missav.com/en/gana-2304
siro-4936,HONB-302,HONB,4,TRUE,FALSE,TRUE,n,,,https://missav.com/th/HONB-302,https://missav.com/th/HONB-302
siro-5003,sqte-477,sqte,4,TRUE,TRUE,TRUE,n,,,https://missav.com/th/sqte-477,https://missav.com/th/sqte-477
,MIDV-115,MIDV,4,TRUE,FALSE,FALSE,s,,,https://missav.com/en/MIDV-115,https://missav.com/en/MIDV-115
,siro-4936,siro,4,FALSE,FALSE,FALSE,n,,,https://missav.com/th/siro-4936,https://missav.com/th/siro-4936
,MIDV-339,MIDV,4,TRUE,TRUE,TRUE,m,,,https://missav.com/en/MIDV-339,https://missav.com/en/MIDV-339
gana-2360,gana-2360,gana,4,FALSE,FALSE,FALSE,m,,,https://missav.com/th/gana-2360,https://missav.com/th/gana-2360
,gana-1867,gana,4,FALSE,FALSE,FALSE,m,,,https://missav.com/th/gana-1867,https://missav.com/th/gana-1867
,gana-2099,gana,4,FALSE,TRUE,FALSE,n,,,https://missav.com/en/gana-2099,https://missav.com/en/gana-2099
siro-4936,fc2-ppv,fc2,4,FALSE,FALSE,FALSE,n,TRUE,,https://missav.com/dm5/th/fc2-ppv-975850,https://missav.com/dm5/th/fc2-ppv-975850
gana-2117,gana-2117,gana,3,FALSE,FALSE,TRUE,n,,2117,https://missav.com/en/gana-2117,https://missav.com/en/gana-2117
gana-2140,gana-2140,gana,3,FALSE,FALSE,TRUE,m,,2140,https://missav.com/en/gana-2140,https://missav.com/en/gana-2140
,mium-481,mium,3,FALSE,TRUE,TRUE,m,,481,https://missav.com/en/mium-481,https://missav.com/en/mium-481
gana-2296,gana-2296,gana,3,FALSE,FALSE,TRUE,n,,2296,https://missav.com/en/gana-2296,https://missav.com/en/gana-2296
gana-2329,gana-2329,gana,3,FALSE,FALSE,TRUE,m,,2329,https://missav.com/en/gana-2329,https://missav.com/en/gana-2329
gana-2095,gana-2095,gana,3,FALSE,FALSE,FALSE,h,,2095,https://missav.com/en/gana-2095,https://missav.com/en/gana-2095
,mium-692,mium,3,FALSE,TRUE,FALSE,h,,692,https://missav.com/en/mium-692,https://missav.com/en/mium-692
gana-2320,gana-2320,gana,3,FALSE,FALSE,TRUE,h,,2320,https://missav.com/en/gana-2320,https://missav.com/en/gana-2320
gana-2527,gana-2527,gana,3,FALSE,FALSE,TRUE,h,,2527,https://missav.com/en/gana-2527,https://missav.com/en/gana-2527
gana-2095,gana-2475,gana,3,FALSE,FALSE,FALSE,h,,,https://missav.com/en/gana-2475,https://missav.com/en/gana-2475
gana-2108,gana-2108,gana,3,TRUE,TRUE,TRUE,m,,2108,https://missav.com/en/gana-2108,https://missav.com/en/gana-2108
,ion-055,ion,3,TRUE,TRUE,TRUE,m,,55,https://missav.com/th/ion-055,https://missav.com/th/ion-055
gana-2117,instv-420,instv,3,TRUE,FALSE,TRUE,n,,420,https://missav.com/th/instv-420,https://missav.com/th/instv-420
gana-2329,NTK-478,NTK,3,TRUE,TRUE,TRUE,m,,478,https://missav.com/en/NTK-478,https://missav.com/en/NTK-478
gana-2527,mfcs-067,mfcs,3,TRUE,FALSE,TRUE,m,,67,https://missav.com/th/mfcs-067,https://missav.com/th/mfcs-067
siro-4674,siro-4674,siro,3,FALSE,TRUE,TRUE,h,,4674,https://missav.com/dm5/th/siro-4674,https://missav.com/dm5/th/siro-4674
gana-2960,gana-2960,gana,3,TRUE,FALSE,TRUE,s,,2960,https://missav.com/th/gana-2960,https://missav.com/th/gana-2960
MAAN-923,MAAN-923,MAAN,3,TRUE,TRUE,TRUE,m,,923,https://missav.com/th/MAAN-923,https://missav.com/th/MAAN-923
SIRO-5034,SIRO-5034,SIRO,3,FALSE,FALSE,TRUE,n,,5034,https://missav.com/en/SIRO-5034,https://missav.com/en/SIRO-5034
,siro-4959,siro,3,FALSE,FALSE,FALSE,m,,4959,https://missav.com/th/siro-4959,https://missav.com/th/siro-4959
siro-4674,ntk-648,ntk,3,TRUE,TRUE,TRUE,h,,648,https://missav.com/th/ntk-648,https://missav.com/th/ntk-648
,siro-5054,siro,3,FALSE,FALSE,FALSE,m,,5054,https://missav.com/th/siro-5054,https://missav.com/th/siro-5054
,siro-4748,siro,3,FALSE,FALSE,TRUE,m,,4748,https://missav.com/dm5/th/siro-4748,https://missav.com/dm5/th/siro-4748
mium-960,NTK-657,NTK,3,TRUE,TRUE,TRUE,m,,657,https://missav.com/th/NTK-657,https://missav.com/th/NTK-657
,siro-4381,siro,3,FALSE,FALSE,TRUE,m,,,https://missav.com/th/siro-4381,https://missav.com/th/siro-4381
gana-2834,siro-4974,siro,3,FALSE,FALSE,FALSE,s,,,https://missav.com/th/siro-4974,https://missav.com/th/siro-4974
,siro-4174,siro,3,FALSE,FALSE,FALSE,n,,,https://missav.com/th/siro-4174,https://missav.com/th/siro-4174
gana-2296,siro-4189,siro,3,FALSE,FALSE,FALSE,n,,,https://missav.com/th/siro-4189,https://missav.com/th/siro-4189
,gana-1928,gana,3,FALSE,TRUE,TRUE,n,,,https://missav.com/en/gana-1928,https://missav.com/en/gana-1928
,siro-4800,siro,3,FALSE,FALSE,FALSE,m,,,https://missav.com/th/siro-4800,https://missav.com/th/siro-4800
SIRO-5034,MIDV-095,MIDV,3,TRUE,FALSE,TRUE,n,,95,https://missav.com/en/MIDV-095,https://missav.com/en/MIDV-095
gana-2322,siro-4956,siro,3,TRUE,FALSE,TRUE,M,,4956,https://missav.com/th/siro-4956,https://missav.com/th/siro-4956
gana-2323,siro-4633,siro,3,TRUE,TRUE,TRUE,m,,4633,https://missav.com/dm5/th/siro-4633,https://missav.com/dm5/th/siro-4633
gana-2960,siro-5094,siro,3,TRUE,TRUE,TRUE,m,,5094,https://missav.com/th/siro-5094,https://missav.com/th/siro-5094
SIRO-4948,SIRO-4948,SIRO,3,TRUE,TRUE,TRUE,m,,4948,https://missav.com/en/SIRO-4948,https://missav.com/en/SIRO-4948
,siro-4933,siro,3,TRUE,FALSE,TRUE,m,,4933,https://missav.com/th/siro-4933,https://missav.com/th/siro-4933
,siro-4633,siro,3,TRUE,FALSE,TRUE,m,,4633,https://missav.com/dm5/th/siro-4633,https://missav.com/dm5/th/siro-4633
,gana-2853,gana,3,TRUE,FALSE,FALSE,m,,,https://missav.com/en/gana-2853,https://missav.com/en/gana-2853
gana-2962,gana-2962,gana,2,FALSE,FALSE,TRUE,s,,2962,https://missav.com/th/gana-2962,https://missav.com/th/gana-2962
gana-1686,ARA-288,ARA,3,TRUE,FALSE,FALSE,S,,,https://missav.com/en/ARA-288,https://missav.com/en/ARA-288
siro-4800,mfcs-067,mfcs,3,TRUE,FALSE,FALSE,m,,,https://missav.com/th/mfcs-067,https://missav.com/th/mfcs-067
,gana-2620,gana,3,FALSE,FALSE,FALSE,m,,,https://missav.com/th/gana-2620,https://missav.com/th/gana-2620
gana-2764,gana-2764,gana,2,FALSE,FALSE,TRUE,h,,2764,https://missav.com/th/gana-2764,https://missav.com/th/gana-2764
gana-2834,gana-2834,gana,3,FALSE,FALSE,FALSE,s,,,https://missav.com/th/gana-2834,https://missav.com/th/gana-2834
,gana-2720,gana,3,FALSE,FALSE,FALSE,n,,,https://missav.com/en/gana-2720,https://missav.com/en/gana-2720
,gana-2775,gana,3,TRUE,FALSE,TRUE,m,,,https://missav.com/en/gana-2775,https://missav.com/en/gana-2775
,gana-1686,gana,3,FALSE,FALSE,FALSE,n,,,https://missav.com/en/gana-1686,https://missav.com/en/gana-1686
,siro-4990,siro,2,FALSE,FALSE,TRUE,m,,4990,https://missav.com/th/siro-4990,https://missav.com/th/siro-4990
,siro-5036,siro,2,FALSE,TRUE,FALSE,m,,5036,https://missav.com/th/siro-5036,https://missav.com/th/siro-5036
,siro-5162,siro,2,FALSE,FALSE,TRUE,s,,5162,https://missav.com/th/siro-5162,https://missav.com/th/siro-5162
gana-2779,siro-4919,siro,2,FALSE,FALSE,FALSE,s,,4919,https://missav.com/th/siro-4919,https://missav.com/th/siro-4919
,gana-2820,gana,2,FALSE,FALSE,FALSE,s,,2820,https://missav.com/th/gana-2820,https://missav.com/th/gana-2820
,siro-5025,siro,2,FALSE,FALSE,TRUE,h,,5025,https://missav.com/th/siro-5025,https://missav.com/th/siro-5025
,abp-664,abp,3,TRUE,TRUE,TRUE,m,,,https://missav.com/th/abp-664-uncensored-leak,https://missav.com/th/abp-664-uncensored-leak
,gana-2967,gana,2,FALSE,FALSE,FALSE,h,,2967,https://missav.com/th/gana-2967,https://missav.com/th/gana-2967
gana-2779,gana-2779,gana,2,FALSE,TRUE,FALSE,m,,,https://missav.com/th/gana-2779,https://missav.com/th/gana-2779
,gana-2805,gana,2,FALSE,TRUE,FALSE,h,,,https://missav.com/th/gana-2805,https://missav.com/th/gana-2805
,sqte-471,sqte,3,TRUE,FALSE,TRUE,h,,,https://missav.com/th/sqte-471,https://missav.com/th/sqte-471
gana-2764,siro-4941,siro,2,FALSE,FALSE,FALSE,h,,4941,https://missav.com/th/siro-4941,https://missav.com/th/siro-4941
gana-2820,siro-5030,siro,2,FALSE,FALSE,FALSE,,,5030,https://missav.com/th/siro-5030,https://missav.com/th/siro-5030
gana-2764,oreco-309,oreco,2,TRUE,FALSE,TRUE,h,,309,https://missav.com/th/oreco-309,https://missav.com/th/oreco-309
,gana-2433,gana,2,FALSE,FALSE,FALSE,s,,,https://missav.com/th/gana-2433,https://missav.com/th/gana-2433
,siro-5123,siro,2,TRUE,FALSE,TRUE,s,,5123,https://missav.com/th/siro-5123,https://missav.com/th/siro-5123
SIRO-4949,SIRO-4805,SIRO,2,TRUE,FALSE,TRUE,n,,4805,https://missav.com/en/SIRO-4805,https://missav.com/en/SIRO-4805
,siro-4021,siro,2,FALSE,FALSE,FALSE,s,,4021,https://missav.com/dm5/th/siro-4021,https://missav.com/dm5/th/siro-4021
,gana-2297,gana,2,FALSE,TRUE,FALSE,m,,,https://missav.com/th/gana-2297,https://missav.com/th/gana-2297
gana-2320,siro-3887,siro,2,TRUE,TRUE,TRUE,h,,3887,https://missav.com/dm5/en/siro-3887,https://missav.com/dm5/en/siro-3887
gana-2296,skmj-116,skmj,2,FALSE,FALSE,FALSE,n,,,https://missav.com/en/skmj-116,https://missav.com/en/skmj-116
,luxu-1332,luxu,2,FALSE,TRUE,FALSE,n,,,https://missav.com/en/luxu-1332,https://missav.com/en/luxu-1332
,gana-2160,gana,2,FALSE,FALSE,FALSE,s,,,https://missav.com/th/gana-2160,https://missav.com/th/gana-2160
,siro-4533,siro,2,TRUE,FALSE,TRUE,n,,4533,https://missav.com/dm5/th/siro-4533,https://missav.com/dm5/th/siro-4533
,gana-2868,gana,2,TRUE,TRUE,TRUE,n,,,https://missav.com/en/gana-2868,https://missav.com/en/gana-2868
gana-2198,NTK-271,NTK,2,TRUE,TRUE,TRUE,n,,,https://missav.com/th/NTK-271,https://missav.com/th/NTK-271
,gana-2061,gana,2,FALSE,FALSE,FALSE,h,,,https://missav.com/th/gana-2061,https://missav.com/th/gana-2061
gana-2198,ARA-296,ARA,2,TRUE,TRUE,TRUE,n,,,https://missav.com/th/ARA-296,https://missav.com/th/ARA-296
,gana-1866,gana,2,FALSE,FALSE,FALSE,n,,,https://missav.com/en/gana-1866,https://missav.com/en/gana-1866
,gana-2919,gana,2,FALSE,TRUE,TRUE,m,,2919,https://missav.com/en/gana-2919,https://missav.com/en/gana-2919
,gana-2977,gana,2,TRUE,TRUE,TRUE,n,,,https://missav.com/th/gana-2977,https://missav.com/th/gana-2977
,gana-2832,gana,2,TRUE,FALSE,FALSE,h,,,https://missav.com/th/gana-2832,https://missav.com/th/gana-2832
,gana-1645,gana,2,FALSE,FALSE,FALSE,s,,,https://missav.com/en/gana-1645,https://missav.com/en/gana-1645
,gana-2678,gana,2,TRUE,FALSE,FALSE,s,,,https://missav.com/th/gana-2678,https://missav.com/th/gana-2678
,gana-2383,gana,2,FALSE,TRUE,TRUE,m,,,https://missav.com/th/gana-2383,https://missav.com/th/gana-2383
gana-2091,gana-2143,gana,2,FALSE,TRUE,TRUE,n,,,https://missav.com/th/gana-2143,https://missav.com/th/gana-2143
,gana-1428,gana,2,FALSE,TRUE,FALSE,n,,,https://missav.com/en/gana-1428,https://missav.com/en/gana-1428
,gana-2091,gana,2,FALSE,TRUE,TRUE,n,,,https://missav.com/th/gana-2091,https://missav.com/th/gana-2091
gana-2091,NTK-279,NTK,2,FALSE,TRUE,TRUE,n,,,https://missav.com/th/NTK-279,https://missav.com/th/NTK-279
gana-2433,ntk-448,ntk,2,TRUE,TRUE,FALSE,s,,,https://missav.com/th/ntk-448,https://missav.com/th/ntk-448
,siro-5135,siro,2,FALSE,FALSE,FALSE,s,,5135,https://missav.com/th/siro-5135,https://missav.com/th/siro-5135
,siro-4642,siro,2,FALSE,FALSE,FALSE,h,,4642,https://missav.com/dm5/th/siro-4642,https://missav.com/dm5/th/siro-4642
,gana-1898,gana,2,FALSE,TRUE,TRUE,h,,,https://missav.com/th/gana-1898,https://missav.com/th/gana-1898
,gana-1429,gana,2,FALSE,TRUE,TRUE,n,,,https://missav.com/en/gana-1429,https://missav.com/en/gana-1429
,gana-2198,gana,2,FALSE,TRUE,TRUE,n,,,https://missav.com/th/gana-2198,https://missav.com/th/gana-2198
siro-4667,siro-4667,siro,2,FALSE,TRUE,TRUE,h,,4667,https://missav.com/dm5/th/siro-4667,https://missav.com/dm5/th/siro-4667
,maan-199,maan,2,TRUE,TRUE,FALSE,s,,,https://missav.com/en/maan-199,https://missav.com/en/maan-199
,siro-4069,siro,2,FALSE,FALSE,FALSE,n,,,https://missav.com/th/siro-4069,https://missav.com/th/siro-4069
,siro-4605,siro,2,FALSE,FALSE,FALSE,s,,,https://missav.com/th/siro-4605,https://missav.com/th/siro-4605
,siro-4390,siro,2,FALSE,FALSE,FALSE,n,,,https://missav.com/th/siro-4390,https://missav.com/th/siro-4390
,siro-4651,siro,2,FALSE,FALSE,TRUE,h,,4651,https://missav.com/dm5/th/siro-4651,https://missav.com/dm5/th/siro-4651
,siro-4949,siro,2,FALSE,FALSE,FALSE,m,,,https://missav.com/th/siro-4949,https://missav.com/th/siro-4949
,siro-4770,siro,2,FALSE,FALSE,TRUE,m,,,https://missav.com/th/siro-4770,https://missav.com/th/siro-4770
scute-1322,scute-1322,scute,2,TRUE,TRUE,TRUE,m,,1322,https://missav.com/th/scute-1322,https://missav.com/th/scute-1322
,siro-4946,siro,2,TRUE,TRUE,TRUE,m,,4946,https://missav.com/th/siro-4946,https://missav.com/th/siro-4946
,gana-2149,gana,2,TRUE,FALSE,TRUE,m,,,https://missav.com/th/gana-2149,https://missav.com/th/gana-2149
,gana-2535,gana,2,TRUE,FALSE,FALSE,n,,,https://missav.com/th/gana-2535,https://missav.com/th/gana-2535
siro-4329,abw-172,abw,2,TRUE,TRUE,FALSE,s,,,https://missav.com/th/abw-172-uncensored-leak,https://missav.com/th/abw-172-uncensored-leak
,maan-875,maan,2,TRUE,TRUE,TRUE,m,,,https://missav.com/th/maan-875,https://missav.com/th/maan-875
siro-4667,mium-770,mium,2,TRUE,TRUE,TRUE,h,,770,https://missav.com/th/mium-770,https://missav.com/th/mium-770
,mfcs-054,mfcs,2,FALSE,FALSE,FALSE,m,,,https://missav.com/th/mfcs-054,https://missav.com/th/mfcs-054
,gana-2964,gana,2,FALSE,FALSE,FALSE,s,,,https://missav.com/th/gana-2964,https://missav.com/th/gana-2964
,siro-4329,siro,2,FALSE,FALSE,FALSE,s,,,https://missav.com/th/siro-4329-uncensored-leak,https://missav.com/th/siro-4329-uncensored-leak
,gana-2612,gana,2,TRUE,TRUE,TRUE,h,,,https://missav.com/th/gana-2612,https://missav.com/th/gana-2612
,gana-2610,gana,2,TRUE,TRUE,TRUE,h,,,https://missav.com/th/gana-2610,https://missav.com/th/gana-2610
gana-2964,luxu-1675,luxu,2,TRUE,FALSE,TRUE,,,,https://missav.com/th/luxu-1675-uncensored-leak,https://missav.com/th/luxu-1675-uncensored-leak
,gana-2501,gana,1,TRUE,TRUE,TRUE,s,,,https://missav.com/en/gana-2501,https://missav.com/en/gana-2501
gana-2501,siro-4558,siro,1,TRUE,TRUE,TRUE,s,,,https://missav.com/th/siro-4558,https://missav.com/th/siro-4558
,gana-2129,gana,1,TRUE,FALSE,TRUE,n,,,https://missav.com/en/gana-2129,https://missav.com/en/gana-2129
,gana-2126,gana,1,FALSE,TRUE,FALSE,s,,,https://missav.com/en/gana-2126,https://missav.com/en/gana-2126
,gana-2548,gana,1,FALSE,TRUE,FALSE,s,,,https://missav.com/en/gana-2548,https://missav.com/en/gana-2548
,gana-1912,gana,1,FALSE,FALSE,FALSE,s,,,https://missav.com/en/gana-1912,https://missav.com/en/gana-1912
,gana-1893,gana,1,FALSE,FALSE,FALSE,s,,,https://missav.com/th/gana-1893,https://missav.com/th/gana-1893
,siro-5116,siro,1,FALSE,FALSE,FALSE,s,,5116,https://missav.com/th/siro-5116,https://missav.com/th/siro-5116
,siro-4104,siro,1,FALSE,FALSE,FALSE,s,,,https://missav.com/th/siro-4104,https://missav.com/th/siro-4104
,gana-2831,gana,1,FALSE,TRUE,TRUE,h,,,https://missav.com/th/gana-2831,https://missav.com/th/gana-2831
,gana-2370,gana,1,TRUE,FALSE,FALSE,s,,,https://missav.com/th/gana-2370,https://missav.com/th/gana-2370
,gana-1688,gana,1,TRUE,FALSE,FALSE,s,,,https://missav.com/en/gana-1688,https://missav.com/en/gana-1688
,mfcs-099,mfcs,3,TRUE,FALSE,TRUE,m,,,https://missav.com/en/mfcs-099,https://missav.com/en/mfcs-099
,oreco-554,oreco,4,FALSE,FALSE,FALSE,s,,,https://missav.com/en/oreco-554,https://missav.com/en/oreco-554
,siro-5197,siro,,TRUE,TRUE,TRUE,,,,https://missav.com/th/siro-5197,https://missav.com/th/siro-5197
,ipx-605,ipx,3,TRUE,FALSE,FALSE,s,,,https://missav.com/dm45/en/ipx-605,https://missav.com/dm45/en/ipx-605
,mium-1032,mium,,TRUE,TRUE,TRUE,n,,,https://missav.com/en/mium-1032,https://missav.com/en/mium-1032
,siro-5196,siro,3,FALSE,FALSE,FALSE,,,,https://missav.com/th/siro-5196,https://missav.com/th/siro-5196
,,,2,FALSE,TRUE,TRUE,h,,,,https://missav.com/en/maan-947
,,,3,FALSE,FALSE,TRUE,h,,,,https://missav.com/en/sone-047-uncensored-leak
STARS-138,,,5,FALSE,FALSE,FALSE,s,,,,https://missav.com/dm19/th/stars-138
,,,5,FALSE,FALSE,FALSE,,TRUE,,,https://missav.com/dm14/th/stars-152-uncensored-leak
,,,5,FALSE,FALSE,TRUE,,,,,https://missav.com/th/stars-590-uncensored-leak
,,,5,FALSE,FALSE,TRUE,,,,,https://missav.com/th/stars-655
,,,5,FALSE,FALSE,TRUE,,,,,https://missav.com/th/stars-693-uncensored-leak
,,,5,TRUE,FALSE,TRUE,,TRUE,,,https://missav.com/dm22/th/stars-168-uncensored-leak
start-010,,,2,TRUE,FALSE,TRUE,,,,,https://missav.com/th/start-010-uncensored-leak
start-010,,,2,TRUE,FALSE,TRUE,,,,,https://missav.com/th/stzy-011
gana-2551,ntk-748,,4,FALSE,TRUE,FALSE,,,,,https://missav.com/dm13/th/ntk-748
star-685,star-685,,4,FALSE,FALSE,FALSE,n,,,,https://missav.com/dm8/th/stars-685
,,,4,FALSE,FALSE,FALSE,n,TRUE,,,https://missav.com/th/fc2-ppv-4025269
,,,4,FALSE,FALSE,FALSE,n,,,,https://missav.com/th/stars-910
,,,4,TRUE,FALSE,FALSE,n,,,,https://missav.com/dm1/th/stars-918
,,,4,TRUE,FALSE,FALSE,n,,,,https://missav.com/th/stars-954
,,,4,FALSE,TRUE,FALSE,n,,,,https://missav.com/th/stars-981
,,,4,TRUE,FALSE,FALSE,n,,,,https://missav.com/th/stars-993
,,,1,TRUE,FALSE,TRUE,h,,,,https://missav.com/th/sone-088
,,,1,TRUE,FALSE,FALSE,h,,,,https://missav.com/th/ntk-850
gana-2360,,,4,TRUE,FALSE,TRUE,n,,,,https://missav.com/th/maan-950ju
,,,,,,,,,,https://missav.com/en/maan-947
